arquivo;modelo;url
CIVIC_SPORT.PNG;CIVIC_SPORT;https://raw.githubusercontent.com/rogersalles/car_models/main/CIVIC_SPORT.PNG
CLA.PNG;CLA;https://raw.githubusercontent.com/rogersalles/car_models/main/CLA.PNG
CLA_180.PNG;CLA_180;https://raw.githubusercontent.com/rogersalles/car_models/main/CLA_180.PNG
CLASSIC.PNG;CLASSIC;https://raw.githubusercontent.com/rogersalles/car_models/main/CLASSIC.PNG
CLASSIC_LARAMIE_NIGHT_EDITION.PNG;CLASSIC_LARAMIE_NIGHT_EDITION;https://raw.githubusercontent.com/rogersalles/car_models/main/CLASSIC_LARAMIE_NIGHT_EDITION.PNG
CLIO.PNG;CLIO;https://raw.githubusercontent.com/rogersalles/car_models/main/CLIO.PNG
COBALT.PNG;COBALT;https://raw.githubusercontent.com/rogersalles/car_models/main/COBALT.PNG
COMMANDER.PNG;COMMANDER;https://raw.githubusercontent.com/rogersalles/car_models/main/COMMANDER.PNG
COMPASS.PNG;COMPASS;https://raw.githubusercontent.com/rogersalles/car_models/main/COMPASS.PNG
COMPASS_LONGITUDE.PNG;COMPASS_LONGITUDE;https://raw.githubusercontent.com/rogersalles/car_models/main/COMPASS_LONGITUDE.PNG
CONSORCIO.PNG;CONSORCIO;https://raw.githubusercontent.com/rogersalles/car_models/main/CONSORCIO.PNG
COOPER.PNG;COOPER;https://raw.githubusercontent.com/rogersalles/car_models/main/COOPER.PNG
CORCEL_1.PNG;CORCEL_1;https://raw.githubusercontent.com/rogersalles/car_models/main/CORCEL_1.PNG
COROLA_CROSS.PNG;COROLA_CROSS;https://raw.githubusercontent.com/rogersalles/car_models/main/COROLA_CROSS.PNG
COROLLA.PNG;COROLLA;https://raw.githubusercontent.com/rogersalles/car_models/main/COROLLA.PNG
COROLLA_ALTIS.PNG;COROLLA_ALTIS;https://raw.githubusercontent.com/rogersalles/car_models/main/COROLLA_ALTIS.PNG
COROLLA_CROSS.PNG;COROLLA_CROSS;https://raw.githubusercontent.com/rogersalles/car_models/main/COROLLA_CROSS.PNG
COROLLA_CROSS_XRX.PNG;COROLLA_CROSS_XRX;https://raw.githubusercontent.com/rogersalles/car_models/main/COROLLA_CROSS_XRX.PNG
COROLLA_XEI-1.PNG;COROLLA_XEI-1;https://raw.githubusercontent.com/rogersalles/car_models/main/COROLLA_XEI-1.PNG
COROLLA_XEI.PNG;COROLLA_XEI;https://raw.githubusercontent.com/rogersalles/car_models/main/COROLLA_XEI.PNG
CORSA-1.PNG;CORSA-1;https://raw.githubusercontent.com/rogersalles/car_models/main/CORSA-1.PNG
CORSA.PNG;CORSA;https://raw.githubusercontent.com/rogersalles/car_models/main/CORSA.PNG
CR-V.PNG;CR-V;https://raw.githubusercontent.com/rogersalles/car_models/main/CR-V.PNG
CRETA.PNG;CRETA;https://raw.githubusercontent.com/rogersalles/car_models/main/CRETA.PNG
CRF-1.PNG;CRF-1;https://raw.githubusercontent.com/rogersalles/car_models/main/CRF-1.PNG
CRF.PNG;CRF;https://raw.githubusercontent.com/rogersalles/car_models/main/CRF.PNG
CRF_1100L-1.PNG;CRF_1100L-1;https://raw.githubusercontent.com/rogersalles/car_models/main/CRF_1100L-1.PNG
